task_en,tugas,jatuh_tempo_hari,durasi_jam,tingkat_kepentingan_1_10,notes_en,catatan
create running schedule,buat jadwal lari,21,0.5,6,,
go to the gym for an hour,pergi ke gym selama satu jam,1,1.5,7,,
eat more fiber,makan lebih banyak serat,-1,0.25,7,,
submit project 1 deliverable for ai/ml class,kumpulkan deliverable project 1 untuk kelas ai/ml,12,4,9,,
finish team charter for lab report,selesaikan team charter untuk laporan praktikum,2,1,8,,
learn how to dj,belajar jadi DJ,-1,25,1,,
fix classpass membership,perbaiki keanggotaan classpass,16,0.5,6,,
attend 1:1 ra meetings,menghadiri pertemuan 1:1 dengan RA,1,1.25,9,,
take team photos,foto bersama tim,15,2,5,,
buy bagguette from gabi et jules,beli baguette dari gabi et jules,3,0.75,3,,
clean out closet and remove old clothes,bersihkan lemari dan buang baju lama,12,2.5,4,,
clean dishes,cuci piring,1,0.18,3,,
load dishwasher,isi mesin cuci piring,1,0.18,3,,
call health insurance regarding surgery follow up,telepon asuransi kesehatan soal follow up operasi,3,0.75,9,,
return id to lost and found,kembalikan kartu identitas ke lost and found,0,0.5,7,,
ask for extension on project 1,minta perpanjangan waktu untuk project 1,0,0.18,8,,
buy tennis balls,beli bola tenis,7,0.5,2,,
get tickets for going to the amusement park,beli tiket ke taman hiburan,3,0.5,1,,
pack gym bag for morning workout,siapkan tas gym untuk olahraga pagi,0,0.25,5,,
complete english paper about frankenstein,selesaikan paper bahasa inggris tentang frankenstein,7,7,9,,
finish math problem set,selesaikan soal-soal matematika,5,6,9,,
fill out multiple questions in science homework,isi beberapa soal PR sains,4,5,9,,
wash hair,cuci rambut/keramas,1,0.25,5,,
wax arms and legs,waxing tangan dan kaki,2,0.75,3,,
toss out expired food from fridge,buang makanan kedaluwarsa dari kulkas,0,0.5,5,,
study for history test,belajar untuk ujian sejarah,3,5,8,,
practice for sat,belajar untuk tes SAT,28,10,10,,
review notes before class,review catatan sebelum kelas,2,1,7,,
come up with ideas for startup,cari ide untuk startup,1,2,6,,
practice elevator pitch for meeting with recruiters,latihan elevator pitch untuk bertemu recruiter,6,1,7,,
find scholarships to apply for,cari beasiswa untuk dilamar,-1,4,8,,
help friend move out of her apartment,bantu teman pindahan dari apartemen,12,3,6,,
ask roommate for extra charger,minta charger cadangan ke teman sekamar,0,0.1,3,,
acquire asian groceries to make dinner,beli bahan makanan asia untuk masak makan malam,4,1.5,4,,
walk 10000 steps,jalan kaki 10000 langkah,1,1.5,7,,
update apps on phone,update aplikasi di HP,-1,0.25,6,,
update linkedin bio,update bio linkedin,3,1,6,,
replace toilet paper in bathroom,ganti tisu toilet di kamar mandi,0,0.05,5,,
schedule yearly physical,buat janji medical check up tahunan,90,0.5,8,,
drop off donations at goodwill,antar donasi barang ke goodwill,10,1,4,,
solve problems in algebra textbook,kerjakan soal di buku aljabar,2,3,9,,
plug in solutions to matlab application,masukkan solusi ke aplikasi matlab,6,2,7,,
set up autopay for electricity bill,atur autopay untuk tagihan listrik,29,0.5,9,,
go pick up sister from school,jemput adik/kakak dari sekolah,0,0.5,7,,
study for midterm,belajar untuk UTS,8,8,10,,
make budget for club team,buat anggaran untuk tim klub,5,2,6,,
find clothes for costume,cari baju untuk kostum,4,1.5,4,,
get ready for concert,bersiap untuk konser,2,2,2,,
finish real analysis problem set,selesaikan soal-soal real analysis,9,6,9,,
make instagram post for journal release,buat post instagram untuk rilis jurnal,1,1,7,,
interview parents about personal culture,wawancarai orang tua soal budaya keluarga,7,2,8,,
present on chinese poetry,presentasi tentang puisi tiongkok,2,4,6,,
meet with board members to discuss firing member,rapat dengan pengurus untuk bahas pemecatan anggota,9,2,9,,
practice drills for tennis,latihan drill tenis,4,2,2,,
look up how to sew button on clothes,cari cara menjahit kancing baju,1,0.5,1,,
return library books,kembalikan buku perpustakaan,3,0.25,5,,
summarize lecture 12 in 200 words,rangkum kuliah 12 dalam 200 kata,5,1,6,,
write comments in code for documentation,tulis komentar kode untuk dokumentasi,6,2,7,,
renew car registration,perpanjang STNK,9,0.5,8,,
compile bibliography for scientific research paper,susun daftar pustaka untuk paper riset ilmiah,8,3,6,,
pair review on refactor branch,pair review branch refactor,7,2,7,,
draft incident post mortem,tulis draf laporan post mortem insiden,9,3,8,,
take daily vitamins,minum vitamin harian,3,0.05,4,,
call grandma,telepon nenek,9,0.5,6,,
check credit card statement,cek tagihan kartu kredit,10,0.25,8,,
open a brokerage account,buka rekening broker/investasi,6,1,8,,
start investing in stocks,mulai investasi saham,4,2,9,,
open a rothira and a 401k,buka akun roth ira dan 401k,8,2,9,,
review bank transactions,periksa transaksi bank,9,0.5,8,,
prep freezer meal,siapkan makanan beku untuk stok,3,2,2,,
measure space for a shellf,ukur ruang untuk rak,5,0.5,3,,
patch a small wall hole,tambal lubang kecil di dinding,30,2,4,,
put up painting,pasang lukisan,2,0.5,3,,
submit regrade requests for exam 1,ajukan permintaan regrade untuk ujian 1,7,0.25,8,,
proofread sister's college essay,periksa ulang esai kuliah adik/kakak,20,2,9,,
choose a new book to read,pilih buku baru untuk dibaca,-1,0.5,2,,
return online order,kembalikan pesanan online,16,1.5,6,,
refill windshield wipers,ganti karet wiper mobil,3,0.25,5,,
get car washed,cuci mobil,5,1,4,,
figure out new skincare routine,cari tahu rutinitas skincare baru,-1,2,2,,
create figures to represent data and results,buat gambar/grafik untuk merepresentasikan data dan hasil,3,3,7,,
stretch for 10 min,stretching selama 10 menit,0,0.2,3,,
text friend to catch up,chat teman untuk ngobrol/catch up,4,0.05,2,,
pack lunch for tomorrow,siapkan bekal makan siang besok,0,0.5,3,,
tidy entryway,rapikan area pintu masuk,3,0.5,4,,
water hoseplants,siram tanaman dengan selang,0,0.25,2,,
declutter desk,rapikan meja dari barang tidak perlu,4,1,3,,
schedule eye exam,buat janji tes mata,4,0.5,8,,
unsubcribe from spam emails,berhenti berlangganan email spam,-1,1,3,,
write thesis chapter 1 introduction,tulis bab 1 skripsi (pendahuluan),21,10,9,first draft from scratch,draf pertama dari nol
write thesis chapter 2 literature review,tulis bab 2 skripsi (tinjauan pustaka),25,14,9,needs to synthesize 40+ papers,perlu sintesis lebih dari 40 paper
write thesis chapter 3 methodology,tulis bab 3 skripsi (metodologi),18,8,9,methods already decided just need to write,metode sudah ditentukan tinggal ditulis
write thesis chapter 4 results,tulis bab 4 skripsi (hasil penelitian),14,12,10,waiting on final data before writing,menunggu data final sebelum menulis
write thesis chapter 5 discussion,tulis bab 5 skripsi (pembahasan),10,9,9,need to connect results back to literature,perlu kaitkan hasil dengan literatur
write thesis conclusion and recommendations,tulis kesimpulan dan saran skripsi,7,4,8,,
revise thesis chapter 1 based on advisor feedback,revisi bab 1 skripsi sesuai masukan dosen pembimbing,5,3,8,advisor wants restructuring of subsections,dosen minta penataan ulang subbab
revise thesis chapter 2 based on advisor feedback,revisi bab 2 skripsi sesuai masukan dosen pembimbing,5,4,8,need more recent references,perlu tambah referensi terbaru
revise thesis chapter 3 methodology after committee review,revisi bab 3 metodologi setelah review komite,4,3,9,committee flagged sampling method,komite mempertanyakan metode sampling
revise thesis chapter 4 results after data recheck,revisi bab 4 hasil setelah pengecekan ulang data,3,5,9,found discrepancy in dataset,ditemukan ketidaksesuaian di dataset
revise entire thesis draft for final submission,revisi keseluruhan draf skripsi untuk pengumpulan akhir,6,10,10,final formatting and consistency pass,pengecekan format dan konsistensi akhir
proofread full thesis draft,proofread keseluruhan draf skripsi,3,4,8,,
format thesis according to university template,format skripsi sesuai template kampus,2,3,7,margins citations page numbers,margin sitasi nomor halaman
prepare thesis defense presentation slides,siapkan slide presentasi sidang skripsi,10,6,10,,
rehearse thesis defense presentation,latihan presentasi sidang skripsi,3,2,10,,
respond to reviewer comments on thesis draft,tanggapi komentar reviewer pada draf skripsi,6,5,9,12 comments to address,ada 12 komentar yang harus dijawab
write literature review for equity research report,tulis tinjauan literatur untuk laporan equity research,10,6,9,using INCO report as structural reference,pakai laporan INCO sebagai acuan struktur
write industry analysis section of ER report,tulis bagian analisis industri laporan equity research,8,5,9,,
write financial modeling section of ER report,tulis bagian pemodelan keuangan laporan equity research,7,7,10,dcf and comparable valuation,dcf dan valuasi pembanding
build dcf valuation model in excel for AMMN,bangun model valuasi dcf di excel untuk AMMN,6,6,10,need historical financials first,perlu data keuangan historis dulu
revise ER report valuation assumptions after mentor feedback,revisi asumsi valuasi laporan ER setelah masukan mentor,4,3,9,mentor questioned commodity price assumption,mentor mempertanyakan asumsi harga komoditas
compile full equity research report draft,susun draf lengkap laporan equity research,5,8,10,combine all sections into one document,gabungkan semua bagian jadi satu dokumen
proofread and polish final ER report,proofread dan poles laporan equity research final,2,3,9,,
write concept paper for RiceMate competition,tulis concept paper untuk kompetisi RiceMate,14,6,9,reframing from disease detection to economic risk,reposisi dari deteksi penyakit ke risiko ekonomi
write related work section comparing to Zulkifli 2021 and Agustian 2026,tulis bagian penelitian terkait dibanding Zulkifli 2021 dan Agustian 2026,9,4,8,gap analysis,analisis kesenjangan riset
draft technical architecture section for RiceMate proposal,tulis bagian arsitektur teknis proposal RiceMate,7,5,8,ViT plus LSTM plus whatsapp integration,ViT plus LSTM plus integrasi whatsapp
write full research proposal draft,tulis draf lengkap proposal penelitian,12,10,9,,
revise research proposal after supervisor feedback,revisi proposal penelitian setelah masukan dosen pembimbing,4,4,8,scope needs to be narrowed,cakupan perlu dipersempit
write literature review for research proposal,tulis tinjauan pustaka untuk proposal penelitian,10,7,8,,
prepare and rehearse proposal defense presentation,siapkan dan latihan presentasi sidang proposal,6,5,9,,
write full lab report from raw data to conclusion,tulis laporan praktikum lengkap dari data mentah hingga kesimpulan,4,8,8,,
revise lab report after TA feedback,revisi laporan praktikum setelah masukan asisten dosen,2,3,7,calculation errors flagged,ditemukan kesalahan perhitungan
write final exam essay answers for open book exam,tulis jawaban esai ujian akhir open book,0,4,10,three long essay questions,tiga soal esai panjang
write and revise conference paper for submission,tulis dan revisi paper konferensi untuk submisi,15,12,9,,
revise paper after peer review comments,revisi paper setelah komentar peer review,7,6,9,reviewer 2 wants additional experiments,reviewer 2 minta eksperimen tambahan
write cover letter and response to reviewers document,tulis surat pengantar dan dokumen tanggapan ke reviewer,3,3,8,,
prepare full slide deck for BEM program evaluation report,siapkan slide lengkap untuk laporan evaluasi program BEM,5,5,7,,
write annual report for RISTEK division,tulis laporan tahunan untuk divisi RISTEK,6,6,7,,
compile and write IKM UI activity report,susun dan tulis laporan kegiatan IKM UI,5,4,6,,
write grant proposal for research funding,tulis proposal hibah pendanaan riset,20,9,9,,
revise grant proposal budget justification section,revisi bagian justifikasi anggaran proposal hibah,5,3,8,,
build and document machine learning pipeline for thesis experiments,bangun dan dokumentasikan pipeline machine learning untuk eksperimen skripsi,10,10,9,LSTM training pipeline,pipeline training LSTM
run and analyze full experiment batch for thesis results chapter,jalankan dan analisis seluruh batch eksperimen untuk bab hasil skripsi,7,8,9,,
write statistical analysis section of thesis,tulis bagian analisis statistik skripsi,6,5,8,,
create all figures and tables for thesis results chapter,buat semua gambar dan tabel untuk bab hasil skripsi,4,4,8,,
translate thesis abstract to english,terjemahkan abstrak skripsi ke bahasa inggris,3,1.5,7,,
compile complete bibliography for thesis using reference manager,susun daftar pustaka lengkap skripsi menggunakan reference manager,4,3,7,over 80 references,lebih dari 80 referensi
write acknowledgements and preface for thesis,tulis kata pengantar dan ucapan terima kasih skripsi,5,1,4,,
prepare thesis revision summary for examiners,siapkan ringkasan revisi skripsi untuk penguji,3,2,8,,
finalize and submit thesis binding copy,selesaikan dan kumpulkan salinan skripsi untuk dijilid,2,2,9,,
