"judul","deskripsi","langkah","kategori","language","sumber"
"Atur notifikasi","ngurangin notifikasi yang ganggu","Buka pengaturan notifikasi|Lihat aplikasi mana yang paling sering nongol|Matiin notifikasi yang nggak penting|Sisain yang beneran perlu|Setel mode fokus kalau ada","Digital","id","terjemahan"
"Bersihin media sosial","beresin isi media sosial","Buka daftar akun yang kamu ikuti|Unfollow akun yang bikin nggak enak|Mute akun yang terlalu berisik|Rapikan postingan lama kalau perlu|Setel batas waktu pemakaian","Digital","id","terjemahan"
"Balas pesan teman","balas chat yang belum dibalas","Buka daftar chat yang belum dibalas|Balas yang cuma butuh 1 kalimat dulu|Balas yang butuh mikir setelahnya|Tandai yang perlu ditindaklanjuti|Tutup aplikasinya","Komunikasi","id","terjemahan"
"Telepon seseorang","nelepon yang udah lama ditunda","Tulis 3 poin yang mau dibicarakan|Cek waktunya pas buat dia|Telepon|Catat kalau ada yang perlu ditindaklanjuti|Kirim pesan susulan kalau perlu","Komunikasi","id","terjemahan"
"Kirim pengingat","ngingetin orang soal sesuatu","Tulis apa yang mau diingetin|Tentuin siapa yang perlu diingetin|Tulis pesannya singkat dan jelas|Kirim|Catat kapan perlu diingetin lagi","Komunikasi","id","terjemahan"
"Minta bantuan","minta tolong ke orang lain","Tulis dengan jelas kamu butuh bantuan apa|Tentuin siapa yang paling bisa bantu|Tulis pesannya tanpa banyak basa-basi|Kirim|Ucapkan terima kasih setelah dibantu","Komunikasi","id","terjemahan"
"Kabarin progres","ngasih update ke tim atau atasan","Cek progres terakhir yang udah dikerjain|Tulis apa yang udah selesai|Tulis kendala kalau ada|Tulis rencana berikutnya|Kirim ke yang bersangkutan","Komunikasi","id","terjemahan"
"Kirim permintaan maaf","minta maaf lewat pesan","Tulis apa yang mau kamu sampaikan|Fokus ke kejadiannya bukan alasan panjang|Baca ulang sekali|Kirim|Kasih ruang buat dia jawab","Komunikasi","id","terjemahan"
"Bikin janji ketemu","ngatur waktu ketemu sama orang","Tentuin tujuan ketemunya|Tawarin 2-3 pilihan waktu|Kirim ke orangnya|Konfirmasi waktu yang disepakati|Catat di kalender","Komunikasi","id","terjemahan"
"Siapin obrolan sulit","nyiapin diri buat percakapan berat","Tulis apa yang mau kamu sampaikan|Tulis hasil yang kamu harapkan|Pikirin kemungkinan responsnya|Pilih waktu dan tempat yang tenang|Mulai dengan kalimat yang udah kamu siapin","Komunikasi","id","terjemahan"
"Kirim ucapan terima kasih","ngucapin terima kasih ke seseorang","Tulis untuk apa kamu berterima kasih|Tulis pesannya singkat dan tulus|Baca ulang sekali|Kirim|Catat kalau ada yang mau dibalas budi","Komunikasi","id","terjemahan"
"Tolak ajakan","nolak undangan atau ajakan dengan sopan","Putuskan dulu kamu memang mau nolak|Tulis penolakan yang singkat dan jelas|Nggak perlu alasan panjang|Kirim|Tawarin alternatif kalau memang mau","Komunikasi","id","terjemahan"
"Koordinasi tugas kelompok","ngatur pembagian kerja kelompok","Buka grup dan cek progres terakhir|Tulis bagian apa aja yang perlu dikerjain|Usulin pembagiannya|Sepakati tenggat tiap bagian|Pasang pengingat sebelum tenggat","Komunikasi","id","terjemahan"
"Minta penjelasan","nanya hal yang belum jelas","Tulis persis bagian mana yang belum jelas|Tentuin siapa yang paling tepat ditanya|Tulis pertanyaannya spesifik|Kirim|Catat jawabannya biar nggak nanya dua kali","Komunikasi","id","terjemahan"
"Kirim dokumen","ngirim file ke orang lain","Cek file yang mau dikirim udah versi final|Kasih nama file yang jelas|Tulis pesan pengantarnya singkat|Kirim lewat email atau chat|Pastiin dia terima","Komunikasi","id","terjemahan"
"Kumpulin jawaban","ngumpulin respons dari beberapa orang","Tulis pertanyaan atau formulirnya|Tentuin siapa aja yang perlu jawab|Kirim ke mereka|Ingetin yang belum jawab|Rekap jawabannya","Komunikasi","id","terjemahan"
"Bikin pengumuman","nulis pengumuman buat grup atau publik","Tulis informasi intinya dulu|Tambahin detail waktu dan tempat|Cek nggak ada yang ambigu|Kirim ke saluran yang tepat|Jawab pertanyaan yang masuk","Komunikasi","id","terjemahan"
"Siapin naskah presentasi","nyiapin apa yang mau diomongin","Buka slide yang udah jadi|Tulis poin yang mau diomongin per slide|Latihan baca sekali|Pangkas yang kepanjangan|Latihan sekali lagi","Komunikasi","id","terjemahan"
"Kasih masukan","ngasih feedback ke orang lain","Baca atau lihat hasil kerjanya dulu|Tulis 1 hal yang udah bagus|Tulis 1-2 hal yang bisa diperbaiki|Tulis dengan spesifik bukan umum|Sampaikan","Komunikasi","id","terjemahan"
"Minta perpanjangan tenggat","minta tambahan waktu ke dosen atau atasan","Tentuin butuh tambahan berapa lama|Tulis alasannya dengan jujur dan singkat|Tulis rencana kamu nyelesaiinnya|Kirim sebelum tenggatnya lewat|Konfirmasi jawabannya","Komunikasi","id","terjemahan"
"Tindak lanjut lamaran","nanyain kabar lamaran yang dikirim","Cek kapan kamu ngirim lamarannya|Cek apakah pantas ditanya sekarang|Tulis pesan singkat dan sopan|Kirim ke kontak yang tepat|Catat tanggalnya","Komunikasi","id","terjemahan"
"Tanggapi masukan","nanggepin feedback yang diterima","Baca semua masukannya sekali dulu|Tahan diri buat langsung membela|Pisahin mana yang bisa ditindaklanjuti|Balas dengan ucapan terima kasih|Kerjain yang paling gampang dulu","Komunikasi","id","terjemahan"
"Rencanain besok","nyusun rencana buat besok","Cek kalender besok|Tulis 3 hal terpenting yang harus kelar|Siapin barang yang perlu dibawa|Tentuin jam bangunnya|Tulis satu langkah pertama buat besok pagi","Personal","id","terjemahan"
"Rencanain minggu ini","nyusun rencana mingguan","Buka kalender minggu ini|Tulis semua tenggat yang ada|Tandai hari yang udah padat|Sebar kerjaan ke hari yang masih lowong|Sisain satu hari yang ringan","Personal","id","terjemahan"
"Tentuin target bulanan","nyusun target buat sebulan","Lihat apa yang belum kelar bulan lalu|Tulis 3 target utama bulan ini|Pecah tiap target jadi langkah mingguan|Tentuin cara ngukur berhasilnya|Tulis di tempat yang keliatan","Personal","id","terjemahan"
"Nulis jurnal","nulis catatan harian","Buka buku atau aplikasi jurnal|Tulis 1 hal yang paling nempel hari ini|Tulis gimana perasaan kamu soal itu|Tulis 1 hal yang kamu syukuri|Tutup tanpa dibaca ulang","Personal","id","terjemahan"
"Refleksi mingguan","ngeliat balik minggu yang udah lewat","Buka catatan atau kalender minggu ini|Tulis 1 hal yang berjalan baik|Tulis 1 hal yang bisa diperbaiki|Tulis 1 pelajaran yang diambil|Tentuin 1 hal buat dicoba minggu depan","Personal","id","terjemahan"
"Rencanain proyek pribadi","nyusun rencana proyek sendiri","Tulis hasil akhir yang kamu mau|Pecah jadi 3-5 tahapan|Tentuin langkah pertama yang paling kecil|Kasih target waktu yang longgar|Kerjain langkah pertama sekarang","Personal","id","terjemahan"
"Mulai kebiasaan baru","bikin kebiasaan baru yang nempel","Pilih satu kebiasaan aja dulu|Bikin versi paling kecilnya misalnya 2 menit|Tempelin ke kebiasaan yang udah ada|Catat tiap kali berhasil|Evaluasi setelah seminggu","Personal","id","terjemahan"
"Baca buku","baca buku yang udah lama ditunda","Ambil bukunya dan taruh di tempat yang keliatan|Baca 2 halaman aja dulu|Tandai sampai mana kamu baca|Tentuin kapan mau lanjut|Lanjut besok di jam yang sama","Personal","id","terjemahan"
"Belajar skill baru","mulai belajar keterampilan baru","Tentuin skill apa dan buat apa|Cari 1 sumber belajar yang bagus|Sisihkan 20 menit buat mulai|Praktekin hal paling dasar|Jadwalin sesi berikutnya","Personal","id","terjemahan"
"Latihan bahasa","latihan bahasa asing","Buka aplikasi atau materi latihan|Latihan 10 menit aja dulu|Fokus ke satu keterampilan misalnya kosakata|Catat kata baru yang dipelajari|Ulangi besok","Personal","id","terjemahan"
"Rencanain olahraga seminggu","nyusun jadwal olahraga","Tentuin berapa kali seminggu yang realistis|Pilih jenis olahraganya|Taruh di hari dan jam yang spesifik|Siapin baju dan alatnya|Pasang pengingat","Personal","id","terjemahan"
"Siapin tidur","nyiapin diri buat tidur lebih baik","Tentuin jam tidur yang mau dituju|Matiin layar 30 menit sebelumnya|Siapin baju dan kebutuhan besok|Redupkan lampu|Lakuin hal tenang sampai ngantuk","Personal","id","terjemahan"
"Rencanain pagi","nyusun rutinitas pagi","Tentuin jam bangun yang realistis|Tulis 3 hal yang mau dilakuin tiap pagi|Siapin barangnya dari malam|Pasang alarm|Coba jalanin besok","Personal","id","terjemahan"
"Bersihin HP","beresin isi HP","Hapus aplikasi yang nggak dipakai|Rapikan aplikasi di layar utama|Hapus foto dan file yang nggak perlu|Bersihin notifikasi yang numpuk|Restart HP-nya","Personal","id","terjemahan"
"Rapikan bookmark","beresin bookmark browser","Buka daftar bookmark|Hapus tautan yang udah mati atau nggak relevan|Buat folder per kategori|Pindahin bookmark ke foldernya|Sisain yang sering dipakai di bar atas","Personal","id","terjemahan"
"Bersihin email","beresin kotak masuk email","Hapus email promosi yang menumpuk|Berhenti langganan newsletter yang nggak dibaca|Arsipkan email lama yang udah selesai|Buat folder buat yang penting|Sisain inbox seringkas mungkin","Personal","id","terjemahan"
"Rencanain keuangan","nyusun rencana keuangan pribadi","Cek pemasukan dan pengeluaran bulan lalu|Tandai pengeluaran yang bisa dikurangi|Tentuin target menabung yang realistis|Pisahin rekening kalau perlu|Cek ulang tiap akhir bulan","Personal","id","terjemahan"
"Rencanain akhir pekan","nyusun rencana buat weekend","Tentuin 1 hal yang wajib kelar|Tentuin 1 hal yang bikin senang|Sisain waktu buat istirahat|Cek nggak kepadatan|Siapin yang perlu disiapin dari sekarang","Personal","id","terjemahan"
"Rapikan catatan","beresin catatan yang berserakan","Kumpulin catatan dari berbagai tempat|Pisahin per topik|Pindahin ke satu aplikasi atau buku|Buang catatan yang udah nggak relevan|Tentuin di mana nulis catatan berikutnya","Personal","id","terjemahan"
"Tata ruang kerja","nyiapin tempat kerja yang nyaman","Singkirin barang yang nggak dipakai dari meja|Atur posisi laptop dan kursi|Siapin alat yang sering dipakai|Atur pencahayaannya|Taruh air minum di dekat situ","Personal","id","terjemahan"
"Siapin baju","nyiapin baju buat besok","Cek agenda besok|Pilih baju yang sesuai|Cek bersih dan nggak kusut|Siapin sepatu dan aksesorisnya|Taruh di tempat yang keliatan","Personal","id","terjemahan"
"Siapin tas","nyiapin tas buat besok","Cek agenda dan kebutuhan besok|Masukin dokumen atau laptop|Masukin alat tulis dan botol minum|Cek dompet dan kunci|Taruh tas di dekat pintu","Personal","id","terjemahan"
"Ambil keputusan","mutusin sesuatu yang tertunda","Tulis pilihan yang ada|Tulis plus minus tiap pilihan|Tentuin apa yang paling penting buat kamu|Pilih satu|Tulis langkah pertama dari pilihan itu","Personal","id","terjemahan"
"Istirahat sebentar","ambil jeda pendek di tengah kerjaan","Berhenti dari yang lagi dikerjain|Berdiri dan jauhin layar|Minum air|Gerakin badan sebentar|Balik lagi setelah 5 menit","Perawatan diri","id","terjemahan"
"Tenangin diri setelah kewalahan","recovery setelah kerasa overwhelmed","Berhenti dulu dari semua tugas|Tarik napas pelan beberapa kali|Minum air|Tulis 1 hal aja yang paling mendesak|Kerjain versi paling kecil dari hal itu","Perawatan diri","id","terjemahan"
"Mulai rutinitas pagi","ngejalanin rutinitas pagi","Bangun dan duduk dulu sebentar|Minum air putih|Cuci muka atau mandi|Makan sesuatu walau sedikit|Lihat rencana hari ini","Perawatan diri","id","terjemahan"
"Siapin diri buat kelas","nyiapin diri sebelum kelas","Cek jadwal dan ruangannya|Siapin catatan dan alat tulis|Baca sekilas materi yang mau dibahas|Siapin minum|Berangkat lebih awal","Perawatan diri","id","terjemahan"
"Siapin diri buat kerja","nyiapin diri sebelum mulai kerja","Lihat kalender hari ini|Tulis 3 hal terpenting|Siapin meja kerja|Siapin minum|Mulai dari yang pertama","Perawatan diri","id","terjemahan"
"Jalan kaki","jalan santai sebentar","Pakai sepatu|Keluar tanpa mikirin jauhnya|Jalan 10 menit ke satu arah|Balik lagi|Minum air setelah sampai","Perawatan diri","id","terjemahan"
"Peregangan","stretching biar badan nggak kaku","Berdiri dari kursi|Putar bahu dan leher pelan|Regangin punggung dan pinggang|Regangin kaki|Tarik napas dalam beberapa kali","Perawatan diri","id","terjemahan"
"Siapin camilan sehat","nyiapin makanan ringan yang sehat","Cek apa yang ada di dapur|Pilih yang paling gampang disiapin|Siapin secukupnya|Makan pelan-pelan|Beresin bekasnya","Perawatan diri","id","terjemahan"
"Minum air","mastiin cukup minum","Ambil gelas atau botol|Isi air|Minum sampai habis|Isi lagi dan taruh di dekat kamu|Pasang pengingat kalau sering lupa","Perawatan diri","id","terjemahan"
"Siapin olahraga","nyiapin diri buat olahraga","Tentuin mau olahraga apa|Siapin baju dan sepatunya|Siapin air minum|Pemanasan sebentar|Mulai dengan intensitas ringan","Perawatan diri","id","terjemahan"
"Tenangin diri sebelum tidur","nyiapin diri biar gampang tidur","Matiin layar dan notifikasi|Redupkan lampu|Beresin hal kecil yang bikin kepikiran|Lakuin hal tenang misalnya baca|Naik ke tempat tidur di jam yang sama","Perawatan diri","id","terjemahan"
"Siapin diri buat janji temu","nyiapin diri sebelum janji penting","Cek waktu dan lokasinya|Siapin dokumen yang perlu dibawa|Siapin pertanyaan yang mau ditanyain|Perkirakan waktu perjalanan|Berangkat lebih awal","Perawatan diri","id","terjemahan"
"Bikin ruang yang tenang","nyiapin tempat yang bikin tenang","Singkirin barang yang berantakan dari pandangan|Atur pencahayaan yang nyaman|Matiin suara yang ganggu|Siapin sesuatu yang bikin nyaman misalnya minuman hangat|Duduk sebentar di situ","Perawatan diri","id","terjemahan"
"Mulai lagi setelah nunda","mulai tugas yang udah lama ditunda","Buka file atau bahan tugasnya|Baca bagian terakhir yang kamu kerjain|Kerjain 5 menit aja tanpa target|Berhenti kalau memang mau berhenti|Catat sampai mana kamu tadi","Perawatan diri","id","terjemahan"
"Bangkit setelah hari yang kelewat","balik jalan setelah sehari terlewat","Jangan hitung ulang yang kemarin|Lihat apa yang paling mendesak sekarang|Pilih 1 hal aja buat hari ini|Kerjain versi paling kecilnya|Tutup hari tanpa nyalahin diri","Perawatan diri","id","terjemahan"
"Quiz","latihan soal sebelum quiz","Buka catatan materi yang mau di-quiz|Sorot rumus atau poin yang paling sering keluar|Kerjain 5 soal paling gampang dulu|Cek jawaban pakai kunci|Ulang soal yang salah aja","Akademik","id","kurasi"
"Ulangan harian","belajar buat ulangan besok","Buka materi bab yang diujiin|Baca ringkasan atau rangkuman dulu|Kerjain contoh soal 3 nomor|Tandai bagian yang masih bingung|Ulang bagian itu sekali lagi","Akademik","id","kurasi"
"Latihan soal","ngerjain soal latihan","Siapin buku dan alat tulis di meja|Kerjain nomor 1 aja dulu|Lanjut sampai nomor 5|Cek jawaban|Ulang yang salah","Akademik","id","kurasi"
"Tugas kuliah","ngerjain tugas dari dosen","Baca ulang instruksi tugasnya|Tulis kerangka jawaban 3 poin|Kembangin poin pertama|Lanjut poin berikutnya|Rapikan format sesuai ketentuan","Akademik","id","kurasi"
"Laporan praktikum","bikin laporan hasil praktikum","Kumpulin data hasil praktikum|Isi bagian tujuan dan dasar teori|Masukin tabel data dan hitungan|Tulis pembahasan|Tulis kesimpulan","Akademik","id","kurasi"
"Makalah","nulis makalah","Tentuin topik dan judulnya|Cari 3 sumber referensi|Bikin outline bab per bab|Tulis pendahuluan dulu|Lanjut ke isi","Akademik","id","kurasi"
"Essay","nulis essay","Tulis 3 poin utama yang mau dibahas|Kembangin poin pertama jadi paragraf|Lanjut poin kedua dan ketiga|Bikin pembuka|Bikin penutup","Akademik","id","kurasi"
"Presentasi kelompok","siapin presentasi bareng kelompok","Bagi tugas di grup chat|Bikin outline slide 5 poin|Isi slide bagian kamu aja|Gabungin sama punya teman|Latihan ngomong sekali","Akademik","id","kurasi"
"Bikin slide presentasi","nyiapin slide buat presentasi","Tulis outline poin per slide|Bikin slide judul dan penutup dulu|Isi slide isi satu per satu|Cek typo|Rapikan font dan warna","Kerja","id","kurasi"
"Proposal skripsi","nyusun proposal skripsi","Tentuin topik yang mau diangkat|Cari 3 jurnal pendukung|Tulis latar belakang 1 paragraf|Rumusin masalah|Tulis tujuan penelitian","Akademik","id","kurasi"
"Skripsi bab","ngerjain satu bab skripsi","Buka dokumen dan baca bagian terakhir yang ditulis|Tulis kerangka sub-bab|Kembangin sub-bab pertama|Lanjut sub-bab berikutnya|Cek sitasi dan format","Akademik","id","kurasi"
"Revisi dari dosen","benerin revisi yang dikasih dosen","Baca semua catatan revisi sekali|Urutin dari yang paling gampang|Kerjain revisi paling gampang dulu|Lanjut yang lebih berat|Tandai yang udah dibenerin","Akademik","id","kurasi"
"Revisi dokumen","benerin dokumen sesuai masukan","Baca semua komentar dulu tanpa ngedit|Kelompokin mana yang mirip|Benerin yang paling cepat dulu|Kerjain sisanya|Cek ulang keseluruhan","Kerja","id","kurasi"
"Baca materi kuliah","baca materi sebelum kelas","Buka slide atau modul minggu ini|Baca judul dan subjudulnya dulu|Baca isi sambil nyorot poin penting|Tulis 1 pertanyaan buat ditanyain|Simpan catatannya","Akademik","id","kurasi"
"Rangkum materi","bikin rangkuman materi","Buka materi yang mau dirangkum|Tulis subjudulnya dulu sebagai kerangka|Isi tiap subjudul 2-3 kalimat|Tandai yang masih belum paham|Simpan ringkasannya","Akademik","id","kurasi"
"Kerja kelompok","ngerjain tugas kelompok","Buka grup dan cek progres terakhir|Kerjain bagian yang jadi tanggung jawab kamu|Kirim hasilnya ke grup|Cek bagian orang lain kalau sempat|Bantu gabungin","Akademik","id","kurasi"
"Daftar ulang","urus daftar ulang semester","Cek dokumen apa aja yang diminta|Siapin berkas yang udah ada|Scan atau foto yang kurang|Upload atau serahin ke bagian akademik|Simpan bukti","Administrasi","id","kurasi"
"Isi KRS","ngisi KRS semester baru","Cek mata kuliah yang wajib diambil|Susun jadwal biar nggak bentrok|Isi di portal akademik|Minta persetujuan dosen wali|Simpan bukti pengisian","Administrasi","id","kurasi"
"Laporan bulanan","bikin laporan rutin bulanan","Kumpulin data bulan ini|Bikin tabel ringkasan|Bikin 1 grafik tren|Tulis 3 poin temuan utama|Kirim ke yang bersangkutan","Kerja","id","kurasi"
"Laporan mingguan","bikin laporan progres mingguan","Cek apa aja yang kelar minggu ini|Tulis poin progres|Tulis kendala kalau ada|Tulis rencana minggu depan|Kirim ke atasan","Kerja","id","kurasi"
"Rekap data","ngerekap data buat laporan","Ekspor atau kumpulin datanya dulu|Bersihin data yang kosong atau dobel|Bikin tabel ringkasan|Cek angkanya masuk akal|Simpan hasilnya","Kerja","id","kurasi"
"Persiapan meeting","nyiapin bahan buat meeting","Baca undangan dan agendanya|Siapin poin yang mau disampaikan|Siapin data pendukung kalau perlu|Cek link atau ruangannya|Siapin catatan","Kerja","id","kurasi"
"Balas email","balas email yang numpuk","Buka inbox dan urutin dari yang terbaru|Balas 3 yang paling penting dulu|Arsipkan yang nggak perlu dibalas|Tandai yang butuh waktu lama buat nanti|Tutup inbox","Kerja","id","kurasi"
"Balas chat kerjaan","balas pesan kerjaan yang tertunda","Buka daftar chat yang belum dibalas|Balas yang cuma butuh 1 kalimat dulu|Balas yang butuh mikir setelahnya|Tandai yang perlu ditindaklanjuti|Tutup aplikasi","Komunikasi","id","kurasi"
"Review dokumen","review dokumen dari orang lain","Baca sekali tanpa ngasih komentar|Baca ulang sambil nandain yang janggal|Tulis komentar di bagian yang perlu|Rangkum masukan utamanya|Kirim balik","Kerja","id","kurasi"
"Bikin proposal","nyusun proposal","Tulis latar belakang masalahnya|Tulis solusi yang ditawarkan|Rincian anggaran atau timeline|Rapikan format|Cek ulang sebelum kirim","Kerja","id","kurasi"
"Bikin CV","update CV","Buka CV lama|Tambahin pengalaman terbaru|Hapus yang udah nggak relevan|Cek typo|Rapikan format","Kerja","id","kurasi"
"Beresin meja kerja","meja kerja berantakan","Singkirin barang yang bukan tempatnya|Buang kertas atau sampah|Lap mejanya|Tata ulang yang sering dipakai|Rapikan kabel","Rumah","id","kurasi"
"Masak","masak buat makan","Cek bahan yang ada di kulkas|Siapin bahan dan alatnya|Masak sesuai urutan|Sajikan|Beresin dapur setelah selesai","Rumah","id","kurasi"
"Olahraga","olahraga ringan","Ganti baju olahraga|Pemanasan 5 menit|Olahraga inti sesuai kemampuan|Pendinginan|Minum air","Perawatan diri","id","kurasi"
"Urus berkas","ngurus dokumen administrasi","Cek syarat dan dokumen yang diminta|Siapin berkas yang udah ada|Lengkapi yang masih kurang|Datang atau upload ke tempat pengurusan|Simpan bukti","Administrasi","id","kurasi"
"Perpanjang STNK","perpanjang STNK yang mau habis","Siapin KTP STNK dan BPKB|Cek lokasi dan jam layanan Samsat|Datang dan ambil nomor antrean|Bayar|Simpan bukti","Administrasi","id","kurasi"
"Booking tiket","pesan tiket perjalanan","Tentuin tanggal dan jam keberangkatan|Bandingin harga di 2 aplikasi|Pesan yang paling cocok|Bayar|Simpan bukti pemesanan","Administrasi","id","kurasi"
