judul,deskripsi,langkah,sumber,kategori,jumlah_langkah,langkah_pertama,profil_dekomposisi,catatan_adhd
Prepare weekly meals,prepare meals for the week,Check your schedule for busy days|Choose a few simple meals|Check ingredients already available|Make the shopping list|Prepare one easy component in advance,manual_curated,Personal,5,Check your schedule for busy days,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan weekend,plan a realistic weekend,List fixed commitments|Choose one important personal task|Choose one enjoyable activity|Leave unplanned time|Check the plan for unnecessary pressure,manual_curated,Personal,5,List fixed commitments,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize notes,organize personal notes,Choose one note collection to clean|Delete obvious duplicates|Group notes by topic|Rename unclear notes|Move important notes to an easy-to-find location,manual_curated,Personal,5,Choose one note collection to clean,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Set up workspace,set up a productive workspace,Remove obvious clutter from the work area|Put the items needed for today's work nearby|Move distractions out of reach|Prepare water or other essentials|Open only the materials needed for the first task,manual_curated,Personal,5,Remove obvious clutter from the work area,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare clothes,prepare clothes for tomorrow,Check tomorrow's schedule or weather|Choose the main outfit|Set out the clothes|Prepare shoes and required accessories|Put everything in one visible place,manual_curated,Personal,5,Check tomorrow's schedule or weather,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Pack bag,pack a daily bag,Check tomorrow's schedule|List the items required|Put the essential items in the bag|Add any special item needed tomorrow|Place the bag near the exit,manual_curated,Personal,5,Check tomorrow's schedule,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Make a decision,work through a small personal decision,Write the decision in one sentence|List the two or three realistic options|Write the most important factor|Choose the option that best fits that factor|Write the next concrete action,manual_curated,Personal,5,Write the decision in one sentence,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize desktop,clean a cluttered computer desktop,Create a temporary folder for unsorted files|Move visible files into that folder|Delete files you know are unnecessary|Rename important files clearly|Sort the temporary folder later,manual_curated,Digital,5,Create a temporary folder for unsorted files,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean downloads,clean the downloads folder,Open the downloads folder|Delete files you no longer need|Move important files to the correct folders|Rename unclear files|Check the folder once more before finishing,manual_curated,Digital,5,Open the downloads folder,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize cloud drive,organize a cloud storage folder,Open the folder with the most clutter|Create a few broad categories|Move files into the categories|Rename files that are hard to identify|Keep one clearly marked current version,manual_curated,Digital,5,Open the folder with the most clutter,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Back up phone,back up important phone data,Check the current backup status|Connect to a reliable network|Start the available backup process|Wait for the backup to finish|Check the latest backup date,manual_curated,Digital,5,Check the current backup status,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean phone storage,free up phone storage,Check which categories use the most storage|Remove obvious large files you no longer need|Review downloaded media|Delete unused apps|Check the storage again,manual_curated,Digital,5,Check which categories use the most storage,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize contacts,clean up phone contacts,Open the contact list|Find obvious duplicates|Merge or remove duplicates|Update missing names or labels|Check the contact list for remaining duplicates,manual_curated,Digital,5,Open the contact list,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Update apps,update phone or computer apps,Open the system or app update screen|Check which updates are available|Install the important updates|Wait for installation to finish|Restart if required,manual_curated,Digital,5,Open the system or app update screen,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Update operating system,install a system update,Check the current system version|Back up important data if needed|Connect the device to power|Start the update|Check that the device works normally afterward,manual_curated,Digital,5,Check the current system version,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create folder structure,create a folder structure for a project,List the main types of files|Choose three to six broad folders|Create the folders|Move a few existing files as a test|Use the structure for new files,manual_curated,Digital,5,List the main types of files,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Rename files,rename a batch of unclear files,Choose one folder to clean|Define a simple naming pattern|Rename the first few files|Check that the names are consistent|Continue through the folder,manual_curated,Digital,5,Choose one folder to clean,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Remove duplicate files,remove duplicate digital files,Choose the folder to review|Identify obvious duplicate files|Compare files before deleting|Delete confirmed duplicates|Empty the recycle bin only after checking,manual_curated,Digital,5,Choose the folder to review,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create backup routine,set up a regular backup routine,Choose the files that must be backed up|Choose the backup location|Decide how often the backup should run|Run the first backup|Check that the backup can be accessed,manual_curated,Digital,5,Choose the files that must be backed up,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Secure account,improve security for an online account,Open the account security settings|Check the recovery information|Use a strong unique password|Enable available multi-factor authentication|Review active sessions,manual_curated,Digital,5,Open the account security settings,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Change password,change a password safely,Open the account security page|Choose the password change option|Create a strong unique password|Save it in your password manager|Check that login works with the new password,manual_curated,Digital,5,Open the account security page,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize browser tabs,reduce browser tab clutter,Close tabs you clearly no longer need|Group related tabs|Bookmark pages you need later|Keep only the tabs needed for the current task|Close the remaining distractions,manual_curated,Digital,5,Close tabs you clearly no longer need,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create email filters,create useful email filters,Identify one recurring type of email|Define the rule condition|Choose the label or folder|Test the rule with a few messages|Adjust the rule if needed,manual_curated,Digital,5,Identify one recurring type of email,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Set calendar reminders,set reminders for important events,Open the relevant calendar events|Identify which events need reminders|Choose a useful reminder time|Save the reminder|Check the upcoming reminder list,manual_curated,Digital,5,Open the relevant calendar events,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create template,create a reusable document template,Open a clean document|Add the recurring headings and sections|Add placeholders for variable information|Save it as a template|Test it with one example,manual_curated,Digital,5,Open a clean document,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create spreadsheet tracker,create a simple tracking spreadsheet,Define what needs to be tracked|Create columns for the key information|Add one example row|Add the remaining current items|Check that the sheet is easy to update,manual_curated,Digital,5,Define what needs to be tracked,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean cloud storage,reduce clutter in cloud storage,Check which folders use the most space|Remove confirmed duplicates|Delete files that are no longer needed|Archive older files if appropriate|Check the storage total,manual_curated,Digital,5,Check which folders use the most space,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Export data,export data from an application,Identify the data you need|Find the export option|Choose the required format|Export a small sample if possible|Open the exported file and verify it,manual_curated,Digital,5,Identify the data you need,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Import data,import data into an application,Check the required import format|Prepare the source file|Clean obvious formatting problems|Import the file|Verify several records after import,manual_curated,Digital,5,Check the required import format,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create shared folder,create a shared project folder,Create the main folder|Add the necessary subfolders|Upload the current working files|Set access for the intended people|Send the folder link,manual_curated,Digital,5,Create the main folder,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Manage notifications,reduce distracting notifications,Open notification settings|List the apps that interrupt you most|Turn off nonessential alerts|Keep alerts for important communication|Test the new notification setup,manual_curated,Digital,5,Open notification settings,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Clean social media feed,reduce unwanted social media content,Identify the accounts that create the most distraction|Mute or unfollow unnecessary accounts|Turn off nonessential notifications|Keep only the feeds you actually use|Close the app when the cleanup is finished,manual_curated,Digital,5,Identify the accounts that create the most distraction,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Reply to friend,reply to an important personal message,Open the message thread|Read the message once without switching apps|Write the shortest useful response|Check whether a question needs an answer|Send the message,manual_curated,Communication,5,Open the message thread,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Make phone call,make an important phone call,Write the reason for the call|Find the phone number|Write two points you need to ask about|Make the call|Record any follow-up action,manual_curated,Communication,5,Write the reason for the call,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Send reminder,send a reminder to someone,Identify what you are waiting for|Write the request in one sentence|Add the relevant deadline or context|Send the message|Set a follow-up reminder if needed,manual_curated,Communication,5,Identify what you are waiting for,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Ask for help,ask someone for help with a task,Define exactly what you are stuck on|Identify the person who can help|Write what you have already tried|Ask one specific question|Send the request,manual_curated,Communication,5,Define exactly what you are stuck on,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Give project update,send a project update,Write what was completed|Write what is currently in progress|List any blocker|State the next action|Send the update,manual_curated,Communication,5,Write what was completed,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write apology message,write a short apology,State what happened|Acknowledge the impact|Apologize directly|State what you will do differently|Send the message,manual_curated,Communication,5,State what happened,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Schedule catch-up,schedule a catch-up conversation,Decide what you want to discuss|Suggest two possible times|Send the invitation|Confirm the selected time|Add it to the calendar,manual_curated,Communication,5,Decide what you want to discuss,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare difficult conversation,prepare for a difficult conversation,Write the issue in one sentence|Separate facts from assumptions|Write what outcome you want|Choose one or two points to communicate|Decide when and where to talk,manual_curated,Communication,5,Write the issue in one sentence,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Send thank-you message,send a thank-you message,Identify what you are thanking them for|Write one specific detail|Add the appreciation clearly|Send the message|Stop without over-editing it,manual_curated,Communication,5,Identify what you are thanking them for,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Decline invitation,decline an invitation politely,Decide whether you need to explain the reason|Write a brief thank-you|State that you cannot attend|Suggest an alternative only if you genuinely want one|Send the reply,manual_curated,Communication,5,Decide whether you need to explain the reason,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Coordinate group task,coordinate a group task,Open the group conversation|State the shared goal|Confirm who is doing each part|Set the next check-in point|Record the agreed actions,manual_curated,Communication,5,Open the group conversation,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Ask for clarification,ask for clarification on an instruction,Identify the exact part you do not understand|Check whether the answer is already in the instructions|Write one specific question|Send the question|Record the answer when you receive it,manual_curated,Communication,5,Identify the exact part you do not understand,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Send document,send a document to someone,Open the final document|Check the filename and version|Attach or upload the document|Write a short context message|Send and verify the attachment,manual_curated,Communication,5,Open the final document,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Collect responses,collect responses from a group,Write the information you need|Create a simple response format|Send the request|Track who has responded|Follow up with the remaining people,manual_curated,Communication,5,Write the information you need,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write announcement,write a group announcement,Write the purpose in one sentence|Add the date time or location if relevant|State what people need to do|Keep the message short|Send it to the correct group,manual_curated,Communication,5,Write the purpose in one sentence,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare presentation speech,prepare speaking notes,Read the slide titles|Write one main sentence for each slide|Add examples only where needed|Practice the first transition|Read through the full notes once,manual_curated,Communication,5,Read the slide titles,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Give feedback,give constructive feedback,Identify the specific behavior or output|Describe its effect|State what could be improved|Give one practical suggestion|Deliver the feedback privately when appropriate,manual_curated,Communication,5,Identify the specific behavior or output,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Request deadline extension,request more time for a task,Check the current deadline|Write what remains unfinished|Explain the practical reason briefly|Propose a realistic new date|Send the request early,manual_curated,Communication,5,Check the current deadline,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Follow up application,follow up on an application,Find the original application details|Check the expected response time|Write a short follow-up message|Include the application reference if available|Send and record the date,manual_curated,Communication,5,Find the original application details,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Respond to feedback,respond to feedback from someone,Read the feedback fully|Identify the points you agree with|Identify any point that needs clarification|Write what you will change|Send the response,manual_curated,Communication,5,Read the feedback fully,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Take a short break,take a short recovery break,Stop the current task|Move away from the work surface|Drink some water or stretch|Take a few slow breaths|Choose whether to return or take a longer break,manual_curated,Self-care,5,Stop the current task,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Reset after overwhelm,recover when a task feels overwhelming,Put the task aside for a moment|Write the task in one sentence|Choose the smallest useful action|Do that action for five minutes|Reassess before adding more work,manual_curated,Self-care,5,Put the task aside for a moment,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Start morning routine,start a simple morning routine,Get out of bed|Drink water and get ready|Check today's first commitment|Prepare the first item you need|Start the first planned action,manual_curated,Self-care,5,Get out of bed,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare for class,prepare before class,Check the class time and location|Open the required material|Put the required items in your bag|Write one thing you want to learn|Leave enough time to arrive,manual_curated,Self-care,5,Check the class time and location,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare for workday,prepare before starting work,Check today's calendar|Choose the first important task|Open the required materials|Remove one obvious distraction|Start the first task,manual_curated,Self-care,5,Check today's calendar,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Take a walk,take a short walk,Put on comfortable shoes|Choose a short route|Start walking|Keep a comfortable pace|Return and drink water,manual_curated,Self-care,5,Put on comfortable shoes,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Stretch,do a short stretching session,Choose a comfortable space|Start with a gentle neck or shoulder movement|Stretch the upper body|Stretch the legs gently|Stop if a movement causes pain,manual_curated,Self-care,5,Choose a comfortable space,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare healthy snack,prepare a simple snack,Choose one available food|Take out the needed ingredients|Prepare the snack|Put the remaining food away|Clean the preparation area,manual_curated,Self-care,5,Choose one available food,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Drink water,remember to hydrate,Get a glass or bottle|Fill it with water|Drink some now|Keep the bottle nearby|Refill it when needed,manual_curated,Self-care,5,Get a glass or bottle,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare workout,prepare for an exercise session,Choose the planned activity|Get the clothes and equipment ready|Drink some water|Start with a gentle warm-up|Begin the planned session,manual_curated,Self-care,5,Choose the planned activity,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Wind down,wind down after a busy day,Finish or pause the last urgent task|Put away work materials|Dim or reduce distracting activities|Write down anything you need to remember tomorrow|Start your bedtime routine,manual_curated,Self-care,5,Finish or pause the last urgent task,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare for appointment,prepare for a personal appointment,Check the time and location|Write what you need to discuss|Collect documents or items|Set a reminder and travel buffer|Leave the materials ready,manual_curated,Self-care,5,Check the time and location,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create calm space,make the workspace less distracting,Remove visible clutter|Move unrelated devices out of reach|Keep only the current task materials nearby|Adjust the environment for comfort|Start with one small task,manual_curated,Self-care,5,Remove visible clutter,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Start task after procrastination,start a task you have been avoiding,Open the exact file or tool needed|Write the first physical action|Work on that action for five minutes|Stop to check what the next action is|Continue only if it feels manageable,manual_curated,Self-care,5,Open the exact file or tool needed,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Recover after missed day,restart after falling behind,Look at what is actually unfinished|Choose one task that matters most|Ignore the rest temporarily|Complete the smallest useful part|Plan the next small action,manual_curated,Self-care,5,Look at what is actually unfinished,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Quiz,latihan soal sebelum quiz,Buka materi yang akan diujikan|Tandai rumus atau konsep penting|Kerjakan 5 soal latihan dari yang paling mudah|Periksa jawaban dengan kunci atau pembahasan|Ulangi soal yang masih salah,user_curated,Existing,5,Buka materi yang akan diujikan,small_first_action,Retained from the user's original dataset.
Ulangan harian,belajar untuk ulangan besok,Cek bab atau materi yang akan diuji|Baca ringkasan materi terlebih dahulu|Kerjakan 3 sampai 5 contoh soal|Catat konsep yang masih belum dipahami|Ulangi bagian yang masih lemah,user_curated,Existing,5,Cek bab atau materi yang akan diuji,small_first_action,Retained from the user's original dataset.
Latihan soal,mengerjakan soal latihan,Siapkan buku dan alat tulis|Kerjakan nomor 1 sampai 5|Periksa jawaban dan tandai yang salah|Pelajari kembali soal yang salah,user_curated,Existing,4,Siapkan buku dan alat tulis,small_first_action,Retained from the user's original dataset.
Tugas kuliah,mengerjakan tugas dari dosen,Baca instruksi dan ketentuan tugas|Tulis kerangka jawaban dalam beberapa poin|Kembangkan jawaban berdasarkan kerangka|Periksa isi dan format sebelum dikumpulkan,user_curated,Existing,4,Baca instruksi dan ketentuan tugas,small_first_action,Retained from the user's original dataset.
Laporan praktikum,membuat laporan hasil praktikum,Kumpulkan data dan hasil pengamatan|Tulis tujuan dan dasar teori|Masukkan tabel data dan perhitungan|Tulis pembahasan dan kesimpulan|Periksa format dan kelengkapan laporan,user_curated,Existing,5,Kumpulkan data dan hasil pengamatan,small_first_action,Retained from the user's original dataset.
Makalah,menulis makalah,Tentukan topik dan pertanyaan utama|Cari beberapa sumber referensi yang relevan|Buat outline per bagian|Tulis pendahuluan berdasarkan outline|Kembangkan pembahasan dan rapikan sitasi,user_curated,Existing,5,Tentukan topik dan pertanyaan utama,small_first_action,Retained from the user's original dataset.
Essay,menulis essay,Tentukan argumen atau gagasan utama|Tulis 2 sampai 3 poin pendukung|Kembangkan setiap poin menjadi paragraf|Tulis pembuka dan penutup|Baca ulang untuk memperbaiki alur,user_curated,Existing,5,Tentukan argumen atau gagasan utama,small_first_action,Retained from the user's original dataset.
Presentasi kelompok,menyiapkan presentasi bersama kelompok,Konfirmasi pembagian tugas dengan anggota kelompok|Tentukan struktur dan urutan slide|Kerjakan bagian slide yang menjadi tanggung jawab|Gabungkan hasil ke file presentasi bersama|Latihan presentasi dan catat bagian yang perlu diperbaiki,user_curated,Existing,5,Konfirmasi pembagian tugas dengan anggota kelompok,small_first_action,Retained from the user's original dataset.
Bikin slide presentasi,menyiapkan slide untuk presentasi,Tentukan tujuan dan isi utama presentasi|Buat outline isi setiap slide|Buat slide berdasarkan outline|Tambahkan data atau visual yang diperlukan|Periksa typo konsistensi dan alur presentasi,user_curated,Existing,5,Tentukan tujuan dan isi utama presentasi,small_first_action,Retained from the user's original dataset.
Proposal skripsi,menyusun proposal skripsi,Tentukan topik dan masalah yang ingin diteliti|Cari jurnal dan sumber pendukung yang relevan|Tulis latar belakang berdasarkan sumber|Rumuskan masalah dan tujuan penelitian|Periksa kesesuaian antarbagian proposal,user_curated,Existing,5,Tentukan topik dan masalah yang ingin diteliti,small_first_action,Retained from the user's original dataset.
Skripsi bab,mengerjakan satu bab skripsi,Buka dokumen dan baca bagian terakhir yang dikerjakan|Tentukan subbab yang akan dikerjakan|Buat kerangka poin untuk subbab tersebut|Kembangkan poin menjadi tulisan|Periksa sitasi dan format penulisan,user_curated,Existing,5,Buka dokumen dan baca bagian terakhir yang dikerjakan,small_first_action,Retained from the user's original dataset.
Revisi dari dosen,mengerjakan revisi dari dosen,Baca seluruh catatan revisi|Kelompokkan revisi berdasarkan bagian dokumen|Kerjakan revisi yang paling jelas terlebih dahulu|Tandai setiap revisi yang sudah selesai|Periksa kembali dokumen sebelum dikirim,user_curated,Existing,5,Baca seluruh catatan revisi,small_first_action,Retained from the user's original dataset.
Revisi dokumen,memperbaiki dokumen berdasarkan masukan,Baca seluruh komentar tanpa langsung mengedit|Kelompokkan komentar yang berkaitan|Perbaiki bagian yang paling mudah atau jelas|Terapkan perubahan pada bagian lainnya|Baca ulang dokumen setelah semua revisi,user_curated,Existing,5,Baca seluruh komentar tanpa langsung mengedit,small_first_action,Retained from the user's original dataset.
Baca jurnal,membaca jurnal untuk mencari referensi,Baca judul abstrak dan kesimpulan|Cari bagian yang relevan dengan topik|Baca bagian relevan secara lebih mendalam|Catat temuan atau kutipan penting|Simpan informasi sitasi jurnal,user_curated,Existing,5,Baca judul abstrak dan kesimpulan,small_first_action,Retained from the user's original dataset.
Baca materi kuliah,membaca materi sebelum kelas,Buka slide atau modul untuk pertemuan yang akan datang|Baca judul dan subjudul untuk memahami struktur|Baca materi dan tandai konsep penting|Catat istilah atau bagian yang belum dipahami|Tulis pertanyaan untuk dibahas di kelas,user_curated,Existing,5,Buka slide atau modul untuk pertemuan yang akan datang,small_first_action,Retained from the user's original dataset.
Rangkum materi,membuat rangkuman materi,Buka materi yang akan dirangkum|Buat kerangka berdasarkan subjudul|Tulis poin penting di setiap bagian|Gabungkan poin menjadi rangkuman singkat|Tandai bagian yang masih belum dipahami,user_curated,Existing,5,Buka materi yang akan dirangkum,small_first_action,Retained from the user's original dataset.
Kerja kelompok,mengerjakan bagian tugas kelompok,Cek pembagian tugas dan progres terakhir|Kerjakan bagian yang menjadi tanggung jawab|Periksa hasil agar sesuai dengan format kelompok|Kirim hasil ke anggota kelompok|Cek apakah ada revisi atau tindak lanjut,user_curated,Existing,5,Cek pembagian tugas dan progres terakhir,small_first_action,Retained from the user's original dataset.
Daftar ulang,mengurus daftar ulang semester,Cek jadwal dan persyaratan daftar ulang|Kumpulkan dokumen yang sudah tersedia|Lengkapi dokumen yang masih kurang|Isi atau unggah data pada portal yang digunakan|Simpan bukti pendaftaran,user_curated,Existing,5,Cek jadwal dan persyaratan daftar ulang,small_first_action,Retained from the user's original dataset.
Isi KRS,mengisi KRS semester baru,Cek mata kuliah wajib dan pilihan|Susun rencana mata kuliah dan jadwal|Periksa bentrok jadwal dan batas SKS|Masukkan mata kuliah ke portal akademik|Ajukan atau minta persetujuan dosen wali,user_curated,Existing,5,Cek mata kuliah wajib dan pilihan,small_first_action,Retained from the user's original dataset.
Laporan bulanan,membuat laporan rutin bulanan,Kumpulkan data selama periode laporan|Bersihkan dan susun data yang diperlukan|Buat tabel ringkasan|Buat grafik untuk data utama|Tulis temuan dan kesimpulan utama,user_curated,Existing,5,Kumpulkan data selama periode laporan,small_first_action,Retained from the user's original dataset.
Laporan mingguan,membuat laporan progres mingguan,Kumpulkan daftar pekerjaan minggu ini|Tandai pekerjaan yang sudah selesai|Tulis progres dan hasil utama|Catat kendala atau pekerjaan yang tertunda|Kirim laporan kepada pihak yang dituju,user_curated,Existing,5,Kumpulkan daftar pekerjaan minggu ini,small_first_action,Retained from the user's original dataset.
Rekap data,merekap data untuk laporan,Kumpulkan atau ekspor data dari sumbernya|Periksa data kosong dan duplikat|Bersihkan data yang bermasalah|Buat tabel ringkasan|Periksa kembali angka sebelum digunakan,user_curated,Existing,5,Kumpulkan atau ekspor data dari sumbernya,small_first_action,Retained from the user's original dataset.
Persiapan meeting,menyiapkan bahan untuk meeting,Baca undangan dan agenda meeting|Tentukan poin yang perlu disampaikan|Siapkan data atau dokumen pendukung|Siapkan pertanyaan atau keputusan yang diperlukan|Periksa waktu dan link atau ruangan meeting,user_curated,Existing,5,Baca undangan dan agenda meeting,small_first_action,Retained from the user's original dataset.
Balas email,menyelesaikan email yang belum dibalas,Buka inbox dan identifikasi email yang perlu ditindaklanjuti|Balas email yang dapat diselesaikan dengan cepat|Kerjakan email yang membutuhkan informasi tambahan|Tandai email yang membutuhkan tindak lanjut|Arsipkan email yang sudah selesai,user_curated,Existing,5,Buka inbox dan identifikasi email yang perlu ditindaklanjuti,small_first_action,Retained from the user's original dataset.
Balas chat kerjaan,menyelesaikan pesan kerja yang tertunda,Buka chat yang belum dibalas|Balas pesan yang dapat dijawab dengan singkat|Kerjakan pesan yang membutuhkan informasi atau keputusan|Catat pesan yang membutuhkan tindak lanjut|Tandai percakapan yang sudah selesai,user_curated,Existing,5,Buka chat yang belum dibalas,small_first_action,Retained from the user's original dataset.
Review dokumen,mereview dokumen dari orang lain,Baca dokumen sekali untuk memahami konteks|Baca ulang dan tandai bagian yang perlu diperiksa|Tulis komentar yang spesifik pada bagian terkait|Periksa kembali komentar agar jelas|Kirim hasil review,user_curated,Existing,5,Baca dokumen sekali untuk memahami konteks,small_first_action,Retained from the user's original dataset.
Bikin proposal,menyusun proposal,Tentukan masalah dan tujuan proposal|Tulis latar belakang dan kebutuhan|Tulis solusi atau rencana yang ditawarkan|Tambahkan anggaran atau timeline jika diperlukan|Rapikan format dan periksa kelengkapan,user_curated,Existing,5,Tentukan masalah dan tujuan proposal,small_first_action,Retained from the user's original dataset.
Bikin CV,memperbarui CV,Buka CV versi terakhir|Tambahkan pengalaman atau pencapaian terbaru|Hapus informasi yang sudah tidak relevan|Sesuaikan isi dengan posisi yang dituju|Periksa typo dan format,user_curated,Existing,5,Buka CV versi terakhir,small_first_action,Retained from the user's original dataset.
Beresin kamar,merapikan kamar yang berantakan,Kumpulkan pakaian kotor ke keranjang|Buang sampah dan barang yang tidak diperlukan|Kembalikan barang ke tempatnya|Rapikan meja atau permukaan yang berantakan|Sapu atau bersihkan lantai,user_curated,Existing,5,Kumpulkan pakaian kotor ke keranjang,small_first_action,Retained from the user's original dataset.
Cuci baju,mencuci pakaian yang menumpuk,Pisahkan pakaian berdasarkan warna atau jenis|Masukkan pakaian dan deterjen ke mesin cuci|Pilih program pencucian yang sesuai|Jemur pakaian setelah selesai|Lipat dan simpan pakaian yang sudah kering,user_curated,Existing,5,Pisahkan pakaian berdasarkan warna atau jenis,small_first_action,Retained from the user's original dataset.
Beresin meja kerja,merapikan meja kerja,Singkirkan barang yang tidak diperlukan|Buang sampah dan kertas yang tidak terpakai|Kembalikan barang ke tempatnya|Bersihkan permukaan meja|Tata barang yang sering digunakan agar mudah dijangkau,user_curated,Existing,5,Singkirkan barang yang tidak diperlukan,small_first_action,Retained from the user's original dataset.
Belanja bulanan,membeli kebutuhan rumah untuk sebulan,Periksa stok kebutuhan di rumah|Buat daftar barang yang perlu dibeli|Perkirakan jumlah dan anggaran belanja|Belanja sesuai daftar|Simpan dan rapikan barang setelah sampai,user_curated,Existing,5,Periksa stok kebutuhan di rumah,small_first_action,Retained from the user's original dataset.
Masak,memasak makanan untuk makan,Tentukan menu dan cek bahan yang tersedia|Siapkan bahan dan alat masak|Masak sesuai urutan resep|Cicipi dan sesuaikan rasa jika diperlukan|Bersihkan alat dan area dapur,user_curated,Existing,5,Tentukan menu dan cek bahan yang tersedia,small_first_action,Retained from the user's original dataset.
Bayar tagihan,membayar tagihan bulanan,Cek tagihan dan tanggal jatuh tempo|Pilih tagihan yang perlu dibayar|Buka aplikasi atau layanan pembayaran|Lakukan pembayaran dan periksa statusnya|Simpan bukti pembayaran,user_curated,Existing,5,Cek tagihan dan tanggal jatuh tempo,small_first_action,Retained from the user's original dataset.
Olahraga,melakukan olahraga ringan,Pilih jenis olahraga dan durasi yang sesuai|Ganti pakaian dan siapkan air minum|Lakukan pemanasan|Lakukan latihan utama sesuai kemampuan|Lakukan pendinginan,user_curated,Existing,5,Pilih jenis olahraga dan durasi yang sesuai,small_first_action,Retained from the user's original dataset.
Urus berkas,mengurus dokumen administrasi,Cek persyaratan dan dokumen yang dibutuhkan|Kumpulkan dokumen yang sudah tersedia|Lengkapi dokumen yang masih kurang|Kirim atau serahkan dokumen sesuai prosedur|Simpan bukti pengajuan,user_curated,Existing,5,Cek persyaratan dan dokumen yang dibutuhkan,small_first_action,Retained from the user's original dataset.
Perpanjang STNK,mengurus perpanjangan STNK,Cek persyaratan dan dokumen yang diperlukan|Periksa lokasi dan jadwal layanan|Datang atau ikuti prosedur layanan yang berlaku|Lakukan pembayaran sesuai tagihan|Simpan bukti pembayaran dan dokumen yang diterima,user_curated,Existing,5,Cek persyaratan dan dokumen yang diperlukan,small_first_action,Retained from the user's original dataset.
